name,death_year,occupation,wikidata_id,wikidata_url
Jadunath Majumdar,1932,writer,Q23942329,https://www.wikidata.org/wiki/Q23942329
Krishna Kamal Bhattacharya,1932,writer,Q13057543,https://www.wikidata.org/wiki/Q13057543
Mahendranath Gupta,1932,writer,Q3630277,https://www.wikidata.org/wiki/Q3630277
Nikhil Nath Roy,1932,writer,Q24037747,https://www.wikidata.org/wiki/Q24037747
Padmasinha Sharma,1932,poet|writer,Q140043739,https://www.wikidata.org/wiki/Q140043739
Phanindra Nath Bose,1932,writer,Q28113447,https://www.wikidata.org/wiki/Q28113447
Prabhat Kumar Mukhopadhyay,1932,novelist|poet|writer,Q7252311,https://www.wikidata.org/wiki/Q7252311
Rokeya Sakhawat Hossain,1932,writer,Q467083,https://www.wikidata.org/wiki/Q467083
Satish Chandra Ghatak,1932,writer,Q133836635,https://www.wikidata.org/wiki/Q133836635
Suniti Devi,1932,poet|writer,Q2802318,https://www.wikidata.org/wiki/Q2802318
Swarnakumari Devi,1932,novelist|playwright|poet|writer,Q7585343,https://www.wikidata.org/wiki/Q7585343
Bholanath Roy,1933,playwright|writer,Q42795466,https://www.wikidata.org/wiki/Q42795466
Biharilal Mitra,1933,writer,Q119892556,https://www.wikidata.org/wiki/Q119892556
Girindra Chandra Basu,1933,writer,Q140411657,https://www.wikidata.org/wiki/Q140411657
Jagadananda Roy,1933,essayist|writer,Q3351811,https://www.wikidata.org/wiki/Q3351811
Kamini Roy,1933,playwright|poet|writer,Q3347319,https://www.wikidata.org/wiki/Q3347319
Mohammad Mozammel Huq,1933,poet,Q6802826,https://www.wikidata.org/wiki/Q6802826
Muralidhar Bandyopadhyay,1933,writer,Q110260612,https://www.wikidata.org/wiki/Q110260612
Rabindranath Maitra,1933,writer,Q28732594,https://www.wikidata.org/wiki/Q28732594
Surabala Ghosh,1933,poet,Q54554569,https://www.wikidata.org/wiki/Q54554569
Aparesh Chandra Mukhopadhyay,1934,playwright|writer,Q13056828,https://www.wikidata.org/wiki/Q13056828
Atulprasad Sen,1934,poet|writer,Q4818810,https://www.wikidata.org/wiki/Q4818810
Bimal Sen,1934,writer,Q31727862,https://www.wikidata.org/wiki/Q31727862
Dwijadas Dutta,1934,writer,Q49745834,https://www.wikidata.org/wiki/Q49745834
Janakinath Bose,1934,playwright,Q16006056,https://www.wikidata.org/wiki/Q16006056
Kamal Krisha Smrititirtha,1934,writer,Q42298340,https://www.wikidata.org/wiki/Q42298340
Mukunda Das,1934,playwright|poet,Q6933657,https://www.wikidata.org/wiki/Q6933657
Prabodh Chandra De,1934,writer,Q50223427,https://www.wikidata.org/wiki/Q50223427
Priya Kumar Chattopadhyay,1934,playwright|writer,Q50276542,https://www.wikidata.org/wiki/Q50276542
Rakhal Chandra Sen,1934,writer,Q133274857,https://www.wikidata.org/wiki/Q133274857
Anath Nath Basu,1935,writer,Q28771254,https://www.wikidata.org/wiki/Q28771254
Debaprasad Sarbadhikari,1935,writer,Q49739135,https://www.wikidata.org/wiki/Q49739135
Dinanath Sanyal,1935,writer,Q49451869,https://www.wikidata.org/wiki/Q49451869
Dinendranath Tagore,1935,poet,Q5278039,https://www.wikidata.org/wiki/Q5278039
Haridas Halder,1935,writer,Q54556103,https://www.wikidata.org/wiki/Q54556103
Hemendralal Roy,1935,writer,Q54570739,https://www.wikidata.org/wiki/Q54570739
Ishan Chandra Ghosh,1935,writer,Q27646259,https://www.wikidata.org/wiki/Q27646259
Krishnalal Bysack,1935,writer,Q110260584,https://www.wikidata.org/wiki/Q110260584
Nibaran Chandra Dashgupta,1935,writer,Q50168846,https://www.wikidata.org/wiki/Q50168846
Nigamananda Paramahansa,1935,writer,Q3349415,https://www.wikidata.org/wiki/Q3349415
Pramatha Nath Bose,1935,essayist|playwright,Q7238244,https://www.wikidata.org/wiki/Q7238244
Priyambada Devi,1935,writer,Q13058663,https://www.wikidata.org/wiki/Q13058663
Rajendranath Vidyabhushan,1935,essayist|writer,Q24037932,https://www.wikidata.org/wiki/Q24037932
Samarendra Chandra Dev Burman,1935,poet|writer,Q26493350,https://www.wikidata.org/wiki/Q26493350
Satyacharan Shasri,1935,writer,Q28771246,https://www.wikidata.org/wiki/Q28771246
Surya Kumar Tarka Saraswati,1935,writer,Q140248393,https://www.wikidata.org/wiki/Q140248393
Tarakishore Choudhury,1935,poet|writer,Q54544213,https://www.wikidata.org/wiki/Q54544213
Abinash Chandra Das,1936,novelist|playwright|writer,Q40725637,https://www.wikidata.org/wiki/Q40725637
Atal Bihari Ghosh,1936,writer,Q40685209,https://www.wikidata.org/wiki/Q40685209
Dhan Gopal Mukerji,1936,novelist|playwright|writer,Q5268884,https://www.wikidata.org/wiki/Q5268884
Haricharan Gangopadhyay,1936,writer,Q140322536,https://www.wikidata.org/wiki/Q140322536
Jatindra Mohan Roy,1936,writer,Q124935967,https://www.wikidata.org/wiki/Q124935967
Krishna Chandra Smrititeertha,1936,writer,Q125964361,https://www.wikidata.org/wiki/Q125964361
Mohammad Lutfur Rahman,1936,novelist|poet|writer,Q6892154,https://www.wikidata.org/wiki/Q6892154
Mohini Mohun Chatterji,1936,writer,Q2341586,https://www.wikidata.org/wiki/Q2341586
Puran Chand Nahar,1936,writer,Q50221147,https://www.wikidata.org/wiki/Q50221147
Sheikh Fazlul Karim,1936,poet|writer,Q7492916,https://www.wikidata.org/wiki/Q7492916
Taraknath Sadhu,1936,novelist|writer,Q49262646,https://www.wikidata.org/wiki/Q49262646
Ashwini Kumar Chattopadhyay,1937,writer,Q119409272,https://www.wikidata.org/wiki/Q119409272
Bipinbihari Nandi,1937,poet,Q113677691,https://www.wikidata.org/wiki/Q113677691
Jagadish Chandra Bose,1937,essayist|writer,Q314267,https://www.wikidata.org/wiki/Q314267
Jatindra Mohan Singha,1937,writer,Q50569307,https://www.wikidata.org/wiki/Q50569307
Jogindranath Sarkar,1937,poet|writer,Q13059503,https://www.wikidata.org/wiki/Q13059503
Kshitindranath Tagore,1937,essayist|poet|writer,Q32985307,https://www.wikidata.org/wiki/Q32985307
Kuladaprasad Mallik,1937,poet|writer,Q48623294,https://www.wikidata.org/wiki/Q48623294
Shaikh Jamiruddin,1937,writer,Q81399794,https://www.wikidata.org/wiki/Q81399794
Shobhanasundari Mukhopadhyay,1937,writer,Q40528040,https://www.wikidata.org/wiki/Q40528040
Swami Akhandananda,1937,writer,Q7653157,https://www.wikidata.org/wiki/Q7653157
Taraknath Biswas,1937,novelist|writer,Q27560623,https://www.wikidata.org/wiki/Q27560623
Abul Hussain,1938,writer,Q25588067,https://www.wikidata.org/wiki/Q25588067
Bhupendranath Bandyopadhyay,1938,playwright,Q50384392,https://www.wikidata.org/wiki/Q50384392
Charu Chandra Bandyopadhyay,1938,essayist|novelist|playwright|writer,Q32126160,https://www.wikidata.org/wiki/Q32126160
Dhirendranath Choudhury,1938,writer,Q5269613,https://www.wikidata.org/wiki/Q5269613
Durgacharan Rakshit,1938,writer,Q140030253,https://www.wikidata.org/wiki/Q140030253
Harisadhan Mukhopadhyay,1938,writer,Q31170338,https://www.wikidata.org/wiki/Q31170338
Nagendranath Basu,1938,novelist|playwright|poet|writer,Q16023277,https://www.wikidata.org/wiki/Q16023277
Nibaran Chandra Dasgupta,1938,writer,Q50186205,https://www.wikidata.org/wiki/Q50186205
Padmanath Bhattacharya,1938,essayist|writer,Q16023330,https://www.wikidata.org/wiki/Q16023330
Ramdayal Majumder,1938,writer,Q51666328,https://www.wikidata.org/wiki/Q51666328
Sarat Chandra Chattopadhyay,1938,novelist|playwright|writer,Q404622,https://www.wikidata.org/wiki/Q404622
Shibratan Mitra,1938,writer,Q54347756,https://www.wikidata.org/wiki/Q54347756
Abanindra Krishna Basu,1939,writer,Q126124830,https://www.wikidata.org/wiki/Q126124830
Ashraf Ali Khan,1939,journalist|poet|writer,Q31734292,https://www.wikidata.org/wiki/Q31734292
Atul Chandra Ghatak,1939,writer,Q120372399,https://www.wikidata.org/wiki/Q120372399
Banoarilal Goswami,1939,writer,Q50368201,https://www.wikidata.org/wiki/Q50368201
Debendranath Basu,1939,playwright|writer,Q49743687,https://www.wikidata.org/wiki/Q49743687
Dinesh Chandra Sen,1939,novelist|writer,Q5278071,https://www.wikidata.org/wiki/Q5278071
Ganapati Chakraborty,1939,writer,Q19665768,https://www.wikidata.org/wiki/Q19665768
Girish Chandra Bose,1939,writer,Q48688386,https://www.wikidata.org/wiki/Q48688386
Indira Debi,1939,writer,Q112033729,https://www.wikidata.org/wiki/Q112033729
Jaladhar Sen,1939,novelist|writer,Q13057927,https://www.wikidata.org/wiki/Q13057927
Jnanendramohan Das,1939,writer,Q28058207,https://www.wikidata.org/wiki/Q28058207
Manmatha Nath Ray Chowdhury,1939,writer,Q19361491,https://www.wikidata.org/wiki/Q19361491
Mir Fazl Ali,1939,writer,Q28771256,https://www.wikidata.org/wiki/Q28771256
Navkrishna Bhattacharya,1939,writer,Q49996982,https://www.wikidata.org/wiki/Q49996982
Phanindranath Paul,1939,writer,Q50277076,https://www.wikidata.org/wiki/Q50277076
Prasannamoyee Devi,1939,poet|writer,Q33134561,https://www.wikidata.org/wiki/Q33134561
Saralabala Mitra,1939,writer,Q54546059,https://www.wikidata.org/wiki/Q54546059
Surendra Chakraborty,1939,writer,Q140232217,https://www.wikidata.org/wiki/Q140232217
Swami Abhedananda,1939,writer,Q578792,https://www.wikidata.org/wiki/Q578792
Amulyacharan Vidyabhushan,1940,essayist|writer,Q15725484,https://www.wikidata.org/wiki/Q15725484
Azizunnessa Khatun,1940,poet|writer,Q42791238,https://www.wikidata.org/wiki/Q42791238
Bhujangadhar Roy Chowdhury,1940,poet|writer,Q50384104,https://www.wikidata.org/wiki/Q50384104
Mohammad Yakub Ali Choudhury,1940,writer,Q13059448,https://www.wikidata.org/wiki/Q13059448
Mujibur Rahman Khan,1940,journalist,Q27835027,https://www.wikidata.org/wiki/Q27835027
Nagendranath Gupta,1940,journalist|novelist|writer,Q16345649,https://www.wikidata.org/wiki/Q16345649
Nagendranath Som,1940,writer,Q49992847,https://www.wikidata.org/wiki/Q49992847
Naliniranjan Pandit,1940,writer,Q50165905,https://www.wikidata.org/wiki/Q50165905
Panchanan Tarkaratna,1940,writer,Q24037791,https://www.wikidata.org/wiki/Q24037791
Shyamacharan Kabiratna,1940,writer,Q24038609,https://www.wikidata.org/wiki/Q24038609
Surendranath Tagore,1940,writer,Q19361492,https://www.wikidata.org/wiki/Q19361492
Bhuluya Baba,1941,poet,Q137213553,https://www.wikidata.org/wiki/Q137213553
Bijoy Chand Mahtab,1941,playwright|poet|writer,Q15996467,https://www.wikidata.org/wiki/Q15996467
Dinesh Ranjan Das,1941,writer,Q49467498,https://www.wikidata.org/wiki/Q49467498
Gurusaday Dutt,1941,writer,Q15070174,https://www.wikidata.org/wiki/Q15070174
Jnanadanandini Devi,1941,journalist|writer,Q20739715,https://www.wikidata.org/wiki/Q20739715
Jogesh Chandra Chowdhury,1941,playwright,Q50589908,https://www.wikidata.org/wiki/Q50589908
Khagendranath Chattopadhyay,1941,writer,Q137393567,https://www.wikidata.org/wiki/Q137393567
Prangopal Goswami,1941,writer,Q50273625,https://www.wikidata.org/wiki/Q50273625
Rabindranath Tagore,1941,essayist|novelist|playwright|poet|writer,Q7241,https://www.wikidata.org/wiki/Q7241
Ramkrishna Ganguly,1941,poet,Q119869030,https://www.wikidata.org/wiki/Q119869030
Satish Chandra Deb,1941,writer,Q119988057,https://www.wikidata.org/wiki/Q119988057
Suresh Chandra Bandyopadhyay,1941,writer,Q133730885,https://www.wikidata.org/wiki/Q133730885
Bijay Chandra Majumdar,1942,poet|writer,Q18341029,https://www.wikidata.org/wiki/Q18341029
Haradayal Nag,1942,writer,Q140319456,https://www.wikidata.org/wiki/Q140319456
Hirendranath Dutta,1942,playwright|writer,Q37941388,https://www.wikidata.org/wiki/Q37941388
Kaliprasanna Dasgupta,1942,novelist|writer,Q48210845,https://www.wikidata.org/wiki/Q48210845
Lajjabati Bose,1942,writer,Q33222865,https://www.wikidata.org/wiki/Q33222865
Pannisseri Nanu Pillai,1942,poet,Q1088645,https://www.wikidata.org/wiki/Q1088645
Pratap Chandra Dutta,1942,writer,Q118174934,https://www.wikidata.org/wiki/Q118174934
Sailendranath Sircar,1942,playwright|writer,Q15996347,https://www.wikidata.org/wiki/Q15996347
Sarat Chandra Chakravarty,1942,writer,Q15995860,https://www.wikidata.org/wiki/Q15995860
Sarat Chandra Roy,1942,writer,Q13121390,https://www.wikidata.org/wiki/Q13121390
Satyananda Das,1942,writer,Q85967206,https://www.wikidata.org/wiki/Q85967206
Somen Chanda,1942,writer,Q13060137,https://www.wikidata.org/wiki/Q13060137
Surendramohan Bhattacharjee,1942,novelist|poet|writer,Q28072785,https://www.wikidata.org/wiki/Q28072785
Surendranath Ghoshal,1942,playwright|poet,Q140235061,https://www.wikidata.org/wiki/Q140235061
Aghor Chandra Kavyatirtha,1943,playwright,Q40677063,https://www.wikidata.org/wiki/Q40677063
Ajay Bhattacharya,1943,poet,Q13056801,https://www.wikidata.org/wiki/Q13056801
Annadacharan Tarkabageesh,1943,writer,Q131436828,https://www.wikidata.org/wiki/Q131436828
Ashutosh Majumder,1943,writer,Q99507222,https://www.wikidata.org/wiki/Q99507222
Brajamohan Das,1943,novelist|writer,Q50383842,https://www.wikidata.org/wiki/Q50383842
Charu Chandra Mitra,1943,playwright|writer,Q28771251,https://www.wikidata.org/wiki/Q28771251
Dinendra Kumar Ray,1943,novelist|writer,Q13058235,https://www.wikidata.org/wiki/Q13058235
Hemlata Devi,1943,writer,Q28837844,https://www.wikidata.org/wiki/Q28837844
Kumudini Basu,1943,essayist|writer,Q48622814,https://www.wikidata.org/wiki/Q48622814
